sp_id	sp_hh_id	age	sex	work_id
217	2645	1	F	X
218	840	2	M	X
219	3	0	M	X
220	1052	0	M	X
221	1405	0	M	X
222	157	2	M	X
223	2903	1	F	X
224	1938	1	M	X
225	1955	0	M	X
226	511	1	F	X
227	687	1	F	X
228	1138	2	M	X
229	1413	2	M	X
230	1511	2	F	X
231	3322	2	M	X
232	571	0	F	X
233	715	2	M	X
234	1339	1	M	X
235	2287	0	M	X
236	3306	1	M	X
237	2351	1	F	X
238	2655	1	F	X
239	991	2	M	X
240	334	2	M	X
241	2161	0	M	X
242	1645	0	M	X
243	362	2	F	X
244	1881	1	F	X
245	2849	0	M	X
246	2145	2	F	X
247	1982	2	F	X
248	2064	2	M	X
249	2604	1	M	X
250	1978	2	M	X
251	376	2	F	X
252	742	2	F	X
253	390	2	F	X
254	2668	0	F	X
255	1241	0	M	X
256	3332	2	M	X
257	824	1	M	X
258	2368	0	F	X
259	2244	2	M	X
260	418	0	M	X
261	607	0	F	X
262	568	1	M	X
263	544	2	F	X
264	2279	2	F	X
265	884	1	M	X
266	2569	1	M	X
267	703	2	F	X
268	1224	2	M	X
269	2894	1	M	X
270	2721	0	F	X
271	1623	0	M	X
272	2069	1	F	X
273	2636	0	F	X
274	2946	1	F	X
275	1787	0	F	X
276	1620	0	M	X
277	1458	2	M	X
278	2419	2	M	X
279	1584	0	F	X
280	1915	0	M	X
281	78	2	F	X
282	1309	2	F	X
283	648	2	M	X
284	2188	1	M	X
285	553	0	F	X
286	998	2	F	X
287	282	0	F	X
288	1282	1	F	X
289	1847	1	M	X
290	1384	2	M	X
291	2488	1	M	X
292	2318	0	F	X
293	1158	2	F	X
294	2794	0	M	X
295	104	0	M	X
296	766	1	M	X
297	2143	1	F	X
298	2777	1	F	X
299	1597	1	F	X
300	480	1	M	X
301	2828	2	M	X
302	3313	0	M	X
303	2061	0	M	X
304	3219	0	M	X
305	1964	0	M	X
306	2649	1	F	X
307	2143	0	M	X
308	2341	2	M	X
309	2073	2	F	X
310	1296	0	F	X
311	1529	0	F	X
312	1190	2	F	X
313	939	2	F	X
314	762	1	F	X
315	3159	2	M	X
316	654	1	M	X
317	1670	1	M	X
318	3033	1	M	X
319	2686	1	F	X
320	2539	1	F	X
321	1932	0	M	X
322	3213	2	F	X
323	1127	1	F	X
324	3298	2	M	X
325	1926	2	M	X
326	575	1	M	X
327	2342	0	M	X
328	2944	1	M	X
329	1330	0	M	X
330	1278	2	M	X
331	1204	0	M	X
332	40	0	F	X
333	2824	0	M	X
334	520	2	F	X
335	1640	2	M	X
336	2594	0	F	X
337	2284	0	M	X
338	463	1	M	X
339	1252	0	M	X
340	1849	1	M	X
341	483	0	M	X
342	2478	1	F	X
343	3094	2	M	X
344	343	0	M	X
345	3112	0	M	X
346	1197	0	F	X
347	1463	0	F	X
348	1203	1	F	X
349	1622	0	F	X
350	2181	2	F	X
351	2399	2	F	X
352	2554	0	M	X
353	2132	2	M	X
354	993	0	M	X
355	2878	0	F	X
356	2909	2	M	X
357	2391	0	M	X
358	2914	2	F	X
359	1190	1	M	X
360	2341	0	M	X
361	1604	1	M	X
362	3298	2	F	X
363	1194	1	F	X
364	598	1	M	X
365	645	2	M	X
366	448	1	F	X
367	2738	1	F	X
368	3050	2	F	X
369	2903	1	F	X
370	2550	2	M	X
371	764	1	F	X
372	735	2	M	X
373	3273	2	F	X
374	1643	1	M	X
375	2298	1	F	X
376	601	1	F	X
377	2173	0	F	X
378	2161	0	M	X
379	981	0	M	X
380	3209	2	M	X
381	1783	1	M	X
382	2198	2	F	X
383	2923	0	F	X
384	2391	1	F	X
385	580	2	M	X
386	783	1	F	X
387	2369	2	F	X
388	2870	1	F	X
389	532	0	M	X
390	1513	0	M	X
391	2540	1	F	X
392	612	2	M	X
393	2300	0	M	X
394	2006	0	F	X
395	1101	0	F	X
396	1671	1	M	X
397	1416	1	M	X
398	1436	2	F	X
399	2221	2	F	X
400	875	2	F	X
401	2249	1	F	X
402	217	1	F	X
403	376	2	F	X
404	1610	2	F	X
405	11	1	M	X
406	3084	2	M	X
407	2940	0	F	X
408	1614	1	M	X
409	2483	2	M	X
410	818	1	F	X
411	1297	0	F	X
412	2979	1	F	X
413	691	1	M	X
414	1600	1	F	X
415	1533	1	F	X
416	1156	0	M	X
417	2903	1	F	X
418	1948	1	M	X
419	784	2	M	X
420	2367	1	F	X
421	2892	2	F	X
422	1973	0	F	X
423	1877	0	M	X
424	2669	0	F	X
425	785	0	M	X
426	3240	2	F	X
427	397	1	F	X
428	3252	0	F	X
429	1082	1	F	X
430	1504	2	M	X
431	2034	2	F	X
432	1615	2	F	X
433	460	0	F	X
434	2109	1	F	X
435	2417	1	M	X
436	3193	1	M	X
437	2767	2	F	X
438	546	0	M	X
439	3089	2	F	X
440	2544	2	M	X
441	497	1	F	X
442	505	2	M	X
443	3017	1	M	X
444	1093	0	M	X
445	2209	1	M	X
446	1638	0	M	X
447	718	1	F	X
448	3217	2	M	X
449	1593	2	F	X
450	3041	0	F	X
451	1409	0	F	X
452	269	0	F	X
453	1947	1	F	X
454	1478	1	F	X
455	2747	0	F	X
456	1542	2	F	X
457	865	1	F	X
458	2398	1	F	X
459	110	1	F	X
460	2455	0	M	X
461	650	0	F	X
462	2099	0	F	X
463	1500	0	F	X
464	1111	0	M	X
465	3140	2	M	X
466	596	2	F	X
467	979	0	M	X
468	3114	1	M	X
469	731	0	F	X
470	57	2	F	X
471	2786	2	M	X
472	2244	1	M	X
473	1784	2	F	X
474	1702	0	F	X
475	3134	1	F	X
476	1287	0	F	X
477	112	0	F	X
478	2813	1	F	X
479	711	0	M	X
480	1202	2	F	X
481	948	0	F	X
482	26	1	M	X
483	2458	1	F	X
484	758	1	F	X
485	2579	0	M	X
486	1801	1	M	X
487	1556	1	F	X
488	3178	0	M	X
489	2797	2	F	X
490	1842	0	F	X
491	2294	1	M	X
492	1105	1	F	X
493	662	0	F	X
494	909	2	F	X
495	2444	1	F	X
496	522	1	M	X
497	1857	1	M	X
498	1760	0	F	X
499	2974	1	F	X
500	2312	2	F	X
501	790	4	F	18
502	1298	4	F	17
503	1730	5	M	7
504	172	4	M	19
505	265	6	M	8
506	1987	3	F	17
507	1050	6	F	7
508	1493	3	F	1
509	1886	3	M	8
510	476	6	F	19
511	2404	6	M	20
512	1050	6	F	20
513	34	6	F	10
514	2312	5	F	12
515	1162	4	F	1
516	816	3	M	4
517	2923	6	F	4
518	754	6	F	9
519	566	6	M	15
520	462	5	M	15
521	3240	6	M	7
522	1655	6	F	12
523	2703	6	F	3
524	81	4	F	20
525	2805	5	F	9
526	1938	6	M	14
527	870	3	M	13
528	1431	3	M	12
529	1070	3	M	1
530	599	5	M	19
531	1635	5	F	16
532	807	3	F	12
533	1935	6	F	10
534	1077	5	M	2
535	3032	3	M	18
536	704	3	F	13
537	2524	6	F	6
538	2640	4	F	12
539	2064	5	F	4
540	487	6	F	1
541	706	3	F	11
542	1526	3	M	8
543	1165	6	F	2
544	620	5	M	2
545	3067	4	F	16
546	777	4	M	1
547	447	3	M	4
548	2338	5	M	6
549	209	4	F	20
550	1499	5	F	14
551	2461	5	F	20
552	2725	3	F	15
553	1451	4	M	7
554	1878	6	F	7
555	2712	3	F	18
556	2338	4	F	2
557	1292	4	M	20
558	2199	4	M	15
559	1743	4	F	1
560	1279	4	F	17
561	1401	5	F	20
562	1677	3	F	13
563	855	5	M	12
564	1382	6	F	15
565	2656	4	F	5
566	2418	3	M	7
567	3299	4	F	8
568	705	3	F	14
569	826	5	F	4
570	1005	3	M	14
571	377	6	M	10
572	973	6	F	16
573	118	3	F	11
574	3077	3	M	14
575	444	3	M	14
576	755	3	M	2
577	640	6	F	13
578	2172	4	M	3
579	2706	3	M	18
580	1301	3	M	4
581	2870	6	F	19
582	2712	6	M	16
583	2408	5	F	4
584	623	3	F	19
585	1493	5	F	15
586	2009	6	F	1
587	1652	6	M	16
588	1724	4	F	15
589	3129	3	F	16
590	3323	5	F	20
591	1920	6	M	1
592	919	6	M	17
593	1174	5	M	5
594	2500	4	M	5
595	1186	6	F	7
596	120	3	F	13
597	582	6	F	12
598	1948	3	M	4
599	2147	5	M	4
600	1191	3	M	6
601	1687	5	F	15
602	2000	3	F	19
603	2562	5	F	6
604	2712	3	M	12
605	401	4	M	14
606	2413	3	F	18
607	1350	3	M	12
608	2629	4	F	15
609	1657	6	F	19
610	621	6	M	8
611	2876	3	F	9
612	247	4	F	5
613	2482	3	F	5
614	1117	5	F	6
615	2663	5	F	3
616	2991	3	M	5
617	3011	6	F	1
618	624	6	M	11
619	2369	3	F	20
620	1840	3	M	1
621	2904	5	M	7
622	2110	6	M	15
623	300	3	F	17
624	403	5	M	8
625	3003	6	F	2
626	1672	4	F	13
627	253	5	M	12
628	1758	6	M	5
629	2526	6	F	13
630	1393	5	F	6
631	1965	4	F	15
632	160	5	M	11
633	3009	6	F	4
634	3238	3	F	1
635	205	3	F	15
636	1162	5	F	12
637	1392	6	F	9
638	858	3	F	11
639	760	6	F	5
640	1591	5	F	7
641	2769	3	F	8
642	3089	6	F	1
643	2116	3	F	1
644	133	5	F	3
645	1724	6	M	8
646	2967	3	F	11
647	430	5	F	1
648	2356	3	F	14
649	2698	3	F	1
650	1198	4	F	6
651	2460	4	M	6
652	97	5	F	3
653	1707	4	M	10
654	1178	5	F	12
655	1719	4	M	10
656	1266	3	M	2
657	1328	5	F	13
658	1309	5	M	16
659	1051	3	M	13
660	1384	5	F	4
661	3132	5	M	4
662	2250	4	M	11
663	2810	5	M	14
664	2922	6	F	3
665	581	3	F	19
666	2418	4	F	1
667	533	4	F	5
668	1176	6	M	17
669	1126	3	F	1
670	899	3	M	19
671	2655	4	F	19
672	1470	5	F	4
673	2921	4	M	19
674	1253	3	M	6
675	3197	6	F	15
676	770	4	F	4
677	834	3	F	1
678	3047	4	F	17
679	1905	5	F	11
680	2986	4	M	17
681	2284	4	F	1
682	2210	3	M	9
683	554	3	F	14
684	2836	3	F	15
685	1092	4	M	1
686	1197	5	F	2
687	1661	6	M	18
688	559	6	M	18
689	261	3	F	6
690	2265	3	M	20
691	1841	4	F	8
692	1148	6	F	1
693	805	3	F	15
694	1186	5	F	10
695	2249	5	F	4
696	2450	3	F	10
697	275	3	F	11
698	206	6	M	5
699	3112	6	F	9
700	1724	4	M	5
701	867	6	F	11
702	93	5	F	3
703	1066	5	M	4
704	2427	3	M	10
705	3179	6	M	7
706	1352	4	M	1
707	2113	5	F	6
708	365	5	F	8
709	821	4	M	17
710	1508	4	F	7
711	2030	5	M	1
712	1925	5	M	9
713	3096	4	M	11
714	2588	5	M	19
715	1086	3	M	2
716	2539	3	F	11
717	1297	4	M	3
718	2277	6	M	17
719	1044	4	F	10
720	3	4	M	3
721	1754	6	M	3
722	911	6	F	7
723	307	6	F	2
724	2480	3	F	1
725	136	5	F	7
726	1933	3	F	20
727	2563	5	M	11
728	2241	3	M	6
729	1609	5	M	4
730	1439	3	F	19
731	873	6	F	19
732	1142	4	F	14
733	666	3	F	3
734	209	5	F	4
735	952	6	F	8
736	1058	3	M	18
737	649	3	F	4
738	1342	6	M	11
739	2168	3	M	16
740	627	4	M	3
741	525	3	F	7
742	1605	4	F	2
743	1869	4	F	1
744	769	6	F	1
745	3161	3	F	6
746	2560	6	M	19
747	2095	3	M	7
748	772	3	F	5
749	740	5	M	18
750	522	3	M	13
751	1401	6	F	1
752	2182	4	M	10
753	248	3	M	9
754	1342	5	F	17
755	2484	6	M	1
756	3248	3	F	1
757	1859	6	F	7
758	686	5	F	4
759	586	5	M	12
760	2399	6	M	16
761	143	3	M	14
762	967	4	F	10
763	2852	5	M	14
764	718	3	M	7
765	643	3	F	4
766	2549	4	F	2
767	370	5	F	18
768	1110	5	M	16
769	787	3	F	9
770	2787	3	M	5
771	1484	4	F	9
772	950	4	F	8
773	1349	5	F	20
774	522	6	F	16
775	2537	5	M	20
776	1953	3	M	18
777	2445	5	M	4
778	2944	6	F	16
779	355	4	M	4
780	947	6	F	6
781	2336	6	F	3
782	1483	6	M	18
783	1648	4	F	15
784	3046	6	F	8
785	536	6	M	18
786	1315	6	M	3
787	2899	3	F	6
788	2886	6	M	15
789	2216	4	F	12
790	950	6	M	5
791	621	6	F	7
792	428	4	F	15
793	1726	6	F	7
794	2538	4	M	13
795	2403	6	M	3
796	2244	4	F	13
797	545	6	M	3
798	2765	6	M	2
799	824	3	M	4
800	2980	3	F	17
801	1003	6	M	6
802	659	6	M	11
803	2987	5	M	6
804	2828	4	F	2
805	2059	5	F	17
806	3328	3	F	3
807	2444	3	M	12
808	731	3	F	14
809	1833	3	M	2
810	409	6	M	5
811	2410	3	F	10
812	3331	6	M	10
813	3075	6	F	9
814	84	3	M	13
815	2204	3	M	10
816	3248	4	M	6
817	707	5	M	11
818	1962	3	M	4
819	2520	4	F	14
820	2667	4	F	17
821	1448	5	F	20
822	134	6	F	2
823	788	3	M	10
824	2955	5	M	3
825	864	3	F	7
826	667	4	F	7
827	277	4	M	1
828	3308	6	F	8
829	1776	4	M	1
830	882	4	M	8
831	2061	5	F	14
832	2390	3	M	14
833	2083	3	M	2
834	2607	5	F	8
835	1238	6	F	19
836	2453	3	M	10
837	2706	4	F	7
838	159	3	M	13
839	3004	4	F	15
840	1134	6	M	11
841	2597	5	M	14
842	3033	3	M	11
843	1852	5	M	2
844	279	3	M	2
845	2527	4	M	12
846	111	5	M	15
847	2479	3	M	17
848	542	4	M	14
849	1139	5	F	16
850	3162	5	M	8
851	3284	3	F	17
852	360	3	F	5
853	2420	3	F	12
854	1239	4	M	6
855	1757	3	M	18
856	3087	5	F	5
857	955	5	M	6
858	2307	3	M	9
859	2826	3	M	15
860	2168	6	M	10
861	976	5	M	17
862	913	4	M	19
863	1152	6	F	12
864	723	3	F	9
865	2571	3	F	15
866	1712	5	F	14
867	325	3	F	1
868	1530	4	M	17
869	1550	5	M	1
870	1074	3	M	13
871	1946	5	F	8
872	1608	3	F	13
873	2117	3	M	16
874	391	3	F	2
875	2431	4	M	13
876	16	4	M	18
877	846	5	M	3
878	869	3	F	13
879	568	3	F	19
880	2180	4	M	13
881	2020	3	M	19
882	3320	4	F	4
883	2321	3	F	19
884	1647	5	F	18
885	2532	3	F	6
886	2598	3	M	19
887	357	6	M	4
888	1657	4	F	4
889	3120	3	F	7
890	3082	3	F	7
891	2281	6	F	16
892	36	6	M	16
893	2461	4	F	5
894	1028	6	F	15
895	2092	5	M	4
896	2616	6	F	13
897	3327	5	M	19
898	2788	4	M	7
899	114	4	M	12
900	1773	4	F	9
901	2445	4	M	17
902	1198	4	F	2
903	1279	5	F	16
904	466	5	M	7
905	1488	4	M	18
906	847	6	M	7
907	502	3	F	1
908	441	4	F	3
909	2117	6	M	11
910	326	3	F	15
911	1766	4	M	3
912	67	4	F	13
913	304	5	F	4
914	972	3	F	8
915	484	3	F	4
916	929	6	M	18
917	1441	5	M	7
918	3231	5	M	11
919	149	5	F	4
920	3099	5	F	13
921	3035	3	M	9
922	2632	3	M	9
923	2296	4	M	19
924	1125	4	F	3
925	2750	5	M	12
926	96	5	M	11
927	282	5	M	20
928	2370	4	M	11
929	529	6	M	17
930	2311	6	M	14
931	1643	4	M	16
932	580	4	M	10
933	1664	4	M	4
934	2342	4	F	10
935	1632	4	M	20
936	2443	4	M	12
937	2561	5	M	9
938	2969	5	F	15
939	810	5	F	9
940	3252	5	M	7
941	2968	4	F	12
942	693	6	F	20
943	235	3	M	14
944	952	4	F	16
945	1855	3	F	19
946	1361	6	M	3
947	1032	5	M	11
948	1467	6	F	20
949	1965	4	M	19
950	539	5	M	8
951	820	4	M	20
952	1682	5	F	8
953	3163	3	M	3
954	272	3	F	10
955	1029	3	F	13
956	1923	6	M	9
957	1243	4	F	6
958	1142	6	M	15
959	593	3	M	16
960	3024	4	M	5
961	1606	3	M	13
962	115	6	M	19
963	2311	6	F	2
964	1678	6	F	6
965	1446	3	M	1
966	207	4	F	15
967	2351	4	F	15
968	112	3	F	14
969	1441	4	F	7
970	1883	3	M	5
971	185	4	M	20
972	1765	5	M	16
973	901	5	F	17
974	221	6	F	11
975	1468	5	M	15
976	3189	5	M	20
977	1094	5	F	16
978	2946	3	M	3
979	3142	5	F	6
980	2670	5	M	13
981	2475	6	M	1
982	2692	5	F	14
983	2616	5	M	2
984	2013	4	M	2
985	2491	6	M	15
986	601	6	M	18
987	1161	6	M	9
988	504	6	M	3
989	2179	6	F	4
990	218	6	F	15
991	2736	3	F	5
992	2219	5	F	20
993	1499	6	F	20
994	612	5	M	5
995	3040	5	M	10
996	1153	3	F	16
997	57	6	M	12
998	1205	4	M	14
999	246	3	M	11
1000	144	4	M	19
1001	3123	5	M	6
1002	368	5	F	10
1003	1483	3	F	20
1004	2266	3	M	3
1005	616	4	F	15
1006	3329	6	F	11
1007	1882	4	F	2
1008	3228	3	F	6
1009	1589	4	M	17
1010	2490	3	F	18
1011	2889	4	M	4
1012	3004	3	F	9
1013	699	3	F	10
1014	876	3	M	2
1015	1686	6	M	11
1016	2824	4	F	11
1017	2810	4	F	11
1018	945	4	M	1
1019	923	3	F	14
1020	2983	4	M	1
1021	1747	4	M	9
1022	25	3	M	1
1023	2854	5	F	4
1024	1688	3	M	1
1025	1560	4	M	19
1026	2812	3	F	10
1027	1084	5	M	15
1028	434	3	F	20
1029	2927	4	F	4
1030	1090	5	M	20
1031	2958	6	F	14
1032	2613	4	F	5
1033	1952	5	F	15
1034	2154	5	M	15
1035	96	6	M	16
1036	168	3	M	16
1037	2090	3	F	4
1038	1903	4	M	9
1039	2152	6	M	1
1040	1869	3	F	5
1041	3276	6	M	9
1042	2568	3	F	20
1043	1999	5	M	5
1044	2330	3	F	4
1045	3115	6	F	16
1046	2995	5	F	2
1047	1134	5	F	16
1048	2011	5	M	18
1049	3282	6	F	2
1050	749	4	F	16
1051	1892	4	F	1
1052	831	4	F	16
1053	49	6	F	3
1054	115	5	F	15
1055	1179	4	M	11
1056	1673	6	F	10
1057	2551	4	M	17
1058	3034	3	F	4
1059	71	4	F	17
1060	3060	4	M	4
1061	1360	5	F	19
1062	67	6	F	1
1063	1517	5	M	14
1064	1674	5	M	11
1065	1778	5	M	7
1066	967	5	M	17
1067	3285	5	F	4
1068	2229	4	M	10
1069	1790	5	M	17
1070	613	5	M	4
1071	1887	6	F	19
1072	1623	3	M	18
1073	697	4	F	17
1074	2651	4	F	6
1075	2296	4	F	7
1076	1238	5	F	6
1077	2407	5	M	12
1078	249	5	M	9
1079	638	6	F	18
1080	950	3	M	2
1081	1905	5	M	17
1082	1112	3	M	1
1083	2711	6	M	9
1084	176	4	F	6
1085	723	5	M	2
1086	2474	3	M	6
1087	771	3	F	9
1088	1948	5	M	3
1089	703	4	M	16
1090	2129	4	M	15
1091	927	4	F	12
1092	138	6	M	8
1093	2518	3	M	6
1094	2398	3	F	3
1095	1150	3	M	4
1096	1941	6	F	10
1097	1892	3	F	14
1098	1879	6	F	15
1099	1254	4	M	7
1100	1484	5	M	7
1101	1369	3	M	8
1102	310	3	M	10
1103	1044	4	M	19
1104	3050	5	F	19
1105	1671	6	F	2
1106	1565	5	F	15
1107	1584	4	F	1
1108	1501	4	M	10
1109	2317	5	F	6
1110	3075	6	F	13
1111	770	6	M	10
1112	16	3	F	12
1113	606	6	M	6
1114	1382	5	M	6
1115	813	4	M	1
1116	3205	3	F	12
1117	1991	3	F	10
1118	2530	4	F	14
1119	895	6	F	15
1120	1568	4	F	4
1121	2317	6	F	1
1122	414	4	M	8
1123	25	5	M	3
1124	2005	6	F	14
1125	316	5	F	17
1126	571	3	M	2
1127	725	4	M	15
1128	3056	3	M	6
1129	1850	3	F	5
1130	1300	3	F	14
1131	1954	3	F	19
1132	389	4	M	9
1133	2770	3	F	8
1134	444	4	F	3
1135	3047	4	F	18
1136	3129	5	F	8
1137	2745	6	F	16
1138	971	6	F	15
1139	2769	4	M	15
1140	2416	5	F	16
1141	1965	4	M	1
1142	2390	4	M	10
1143	1829	4	M	19
1144	304	5	F	5
1145	764	6	F	18
1146	1974	5	F	3
1147	816	3	F	4
1148	2160	5	M	4
1149	878	5	F	11
1150	3078	5	M	9
1151	2978	5	F	1
1152	703	6	F	16
1153	2894	3	M	9
1154	944	6	M	11
1155	2327	6	M	6
1156	2430	5	F	17
1157	2061	4	M	12
1158	303	4	M	8
1159	1580	6	M	16
1160	160	6	F	5
1161	2202	5	M	1
1162	2802	6	M	17
1163	2229	5	F	8
1164	1204	4	M	10
1165	2425	4	M	18
1166	2824	3	M	15
1167	1192	4	F	20
1168	3286	6	M	13
1169	1174	4	M	10
1170	2064	5	M	9
1171	1115	4	M	13
1172	1144	3	M	3
1173	1980	4	M	3
1174	253	5	M	1
1175	3132	5	F	2
1176	1433	6	F	11
1177	2079	4	F	14
1178	3093	5	M	10
1179	731	3	F	7
1180	2337	6	M	1
1181	498	3	M	7
1182	1429	4	M	15
1183	548	4	F	11
1184	961	4	F	6
1185	132	6	M	7
1186	1348	5	M	7
1187	858	6	F	1
1188	1156	3	F	10
1189	2033	6	F	15
1190	521	3	F	8
1191	30	6	F	19
1192	2675	5	F	3
1193	2052	3	F	15
1194	509	4	M	4
1195	1261	4	M	6
1196	1559	6	F	10
1197	16	4	F	18
1198	997	3	M	16
1199	1608	4	F	18
1200	1840	5	M	6
1201	2017	5	M	19
1202	3004	6	F	17
1203	1254	3	M	18
1204	3179	5	F	13
1205	1744	5	F	7
1206	2311	3	M	20
1207	1089	4	M	12
1208	2313	4	M	2
1209	1362	6	F	12
1210	378	4	F	12
1211	1199	3	F	4
1212	3011	5	F	4
1213	3224	4	F	18
1214	476	6	F	16
1215	1290	4	F	14
1216	329	3	M	17
1217	1840	6	F	17
1218	1187	4	M	3
1219	438	6	M	6
1220	1391	3	F	13
1221	1774	5	M	9
1222	1223	3	M	9
1223	1524	3	M	8
1224	2064	3	F	17
1225	1845	3	M	16
1226	1320	5	F	16
1227	868	5	F	19
1228	2559	6	F	16
1229	1812	4	M	14
1230	984	5	M	20
1231	1263	5	F	14
1232	2629	4	F	14
1233	1325	5	F	14
1234	2054	3	M	12
1235	3292	3	M	6
1236	1019	4	M	20
1237	1790	6	M	13
1238	807	6	M	16
1239	1894	4	M	9
1240	1410	4	M	2
1241	2667	3	F	3
1242	1319	6	M	10
1243	1142	5	F	20
1244	405	3	M	2
1245	3045	4	F	10
1246	1787	6	M	8
1247	594	5	M	17
1248	2614	5	M	1
1249	2800	3	F	6
1250	12	6	M	7
1251	3281	6	M	15
1252	2213	4	F	18
1253	2926	6	M	9
1254	1318	6	M	8
1255	1543	3	F	10
1256	2126	6	M	4
1257	614	5	F	20
1258	1987	3	F	8
1259	869	3	F	1
1260	812	4	M	8
1261	1823	6	M	12
1262	3149	4	F	15
1263	3120	5	F	13
1264	767	3	M	16
1265	82	3	M	18
1266	1745	3	M	1
1267	2257	5	F	17
1268	522	5	M	16
1269	3101	4	F	5
1270	1328	4	F	20
1271	994	4	M	10
1272	2513	6	M	6
1273	1526	3	F	12
1274	1470	3	F	10
1275	2676	4	M	17
1276	1514	3	F	2
1277	781	4	M	19
1278	1452	6	M	20
